Full Name,Birth Date (YYYY-MM-DD),Birth City,Birth State/Province (if applicable),Birth Country,Primary Profession,Primary Research Area,Major Contribution
Tennessee Vonnegut 1,1939-12-06,Buenos Aires,,Argentina,Screenwriter & Playwright,Cinematic Screenwriting & Dramatic Three-Act Structure,Defining Magical Realism in World Literature and Latin American Prose
Agatha Garcia Lorca 2,1938-06-20,New York City,New York,United States,Comic Book Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Jorge De Beauvoir 3,1974-01-26,Lagos,,Nigeria,Non-Fiction & Essayist,Magical Realism & Post-Colonial Cultural Identity in Fiction,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Tom R.R. Martin 4,1974-12-12,Boston,Massachusetts,United States,Poet & Literary Critic,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Shaping Speculative Science Fiction and Laws of Robotics
Samuel Bradbury 5,1909-08-11,Paris,,France,Screenwriter & Playwright,Cinematic Screenwriting & Dramatic Three-Act Structure,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Alan Herbert 6,1939-02-15,Prague,,Czech Republic,Comic Book Writer,Magical Realism & Post-Colonial Cultural Identity in Fiction,Shaping Speculative Science Fiction and Laws of Robotics
C.S. Le Guin 7,1987-10-02,Tokyo,,Japan,Science Fiction Author,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Defining Magical Realism in World Literature and Latin American Prose
Arthur Neruda 8,1943-05-19,Boston,Massachusetts,United States,Novelist & Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Samuel Dahl 9,1972-04-28,Berlin,,Germany,Screenplay Writer,Cinematic Screenwriting & Dramatic Three-Act Structure,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Tennessee Woolf 10,1914-11-17,Buenos Aires,,Argentina,Novelist & Author,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Advancing Modernist Narrative Techniques and Psychological Realism
Tennessee Gaiman 11,1902-10-23,Mumbai,Maharashtra,India,Screenplay Writer,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Shaping Speculative Science Fiction and Laws of Robotics
Alan Dahl 12,1932-12-09,Buenos Aires,,Argentina,Dramatic Playwright,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Frank Lee 13,1919-01-02,New York City,New York,United States,Graphic Novelist,Science Fiction Speculative Futures & Philosophical Exploration,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Neil Le Guin 14,1934-06-08,Chicago,Illinois,United States,Screenplay Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Pablo Morrison 15,1980-06-01,Sydney,New South Wales,Australia,Science Fiction Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Frank Orwell 16,1970-06-18,Chicago,Illinois,United States,Non-Fiction & Essayist,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Defining Magical Realism in World Literature and Latin American Prose
J.R.R. Smith 17,1914-08-02,Paris,,France,Non-Fiction & Essayist,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
George Sedaris 18,1922-04-22,Chicago,Illinois,United States,Non-Fiction & Essayist,Magical Realism & Post-Colonial Cultural Identity in Fiction,Advancing Modernist Narrative Techniques and Psychological Realism
Pablo Moore 19,1940-09-14,Chicago,Illinois,United States,Comic Book Writer,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Shaping Speculative Science Fiction and Laws of Robotics
Pablo Gaiman 20,1961-07-28,San Francisco,California,United States,Comic Book Writer,Science Fiction Speculative Futures & Philosophical Exploration,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Aldous Foster Wallace 21,1955-09-02,Berlin,,Germany,Screenplay Writer,Science Fiction Speculative Futures & Philosophical Exploration,Shaping Speculative Science Fiction and Laws of Robotics
Isaac Herbert 22,1916-02-06,New York City,New York,United States,Screenplay Writer,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Ernest Rowling 23,1955-02-03,San Francisco,California,United States,Literary Fiction Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
Neil Camus 24,1904-01-22,New York City,New York,United States,Graphic Novelist,Magical Realism & Post-Colonial Cultural Identity in Fiction,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Pablo Asimov 25,1959-06-22,London,,United Kingdom,Screenplay Writer,Science Fiction Speculative Futures & Philosophical Exploration,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
J.K. King 26,1961-01-15,Boston,Massachusetts,United States,Fantasy & Adventure Writer,Magical Realism & Post-Colonial Cultural Identity in Fiction,Advancing Modernist Narrative Techniques and Psychological Realism
Ray Neruda 27,1972-01-20,New York City,New York,United States,Non-Fiction & Essayist,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Haruki Neruda 28,1945-11-19,New York City,New York,United States,Graphic Novelist,Cinematic Screenwriting & Dramatic Three-Act Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Harold Miller 29,1930-11-22,Moscow,,Russia,Poetry Laureate,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Tennessee Asimov 30,1969-08-17,Boston,Massachusetts,United States,Screenplay Writer,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Advancing Modernist Narrative Techniques and Psychological Realism
Aldous Garcia Marquez 31,1938-02-15,Edinburgh,,United Kingdom,Graphic Novelist,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Shaping Speculative Science Fiction and Laws of Robotics
Haruki Vonnegut 32,1970-11-06,Vancouver,British Columbia,Canada,Novelist & Author,Science Fiction Speculative Futures & Philosophical Exploration,Shaping Speculative Science Fiction and Laws of Robotics
Pablo Foster Wallace 33,1927-01-04,Santiago,,Chile,Graphic Novelist,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Defining Magical Realism in World Literature and Latin American Prose
Tennessee Morrison 34,1940-11-20,New York City,New York,United States,Non-Fiction & Essayist,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Kurt Beckett 35,1955-02-02,Chicago,Illinois,United States,Comic Book Writer,Cinematic Screenwriting & Dramatic Three-Act Structure,Shaping Speculative Science Fiction and Laws of Robotics
Stephen Sedaris 36,1973-11-04,New York City,New York,United States,Literary Fiction Author,Magical Realism & Post-Colonial Cultural Identity in Fiction,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Jorge Smith 37,1936-12-16,Paris,,France,Poet & Literary Critic,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Stephen Neruda 38,1980-01-27,Boston,Massachusetts,United States,Science Fiction Author,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Defining Magical Realism in World Literature and Latin American Prose
J.K. Herbert 39,1900-10-16,San Francisco,California,United States,Poetry Laureate,Science Fiction Speculative Futures & Philosophical Exploration,Shaping Speculative Science Fiction and Laws of Robotics
Simone Herbert 40,1948-10-17,Boston,Massachusetts,United States,Graphic Novelist,"Modernist Literature, Stream-of-Consciousness & Poetic Form",Advancing Modernist Narrative Techniques and Psychological Realism
Kurt Garcia Marquez 41,1917-05-03,Toronto,Ontario,Canada,Non-Fiction & Essayist,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Shaping Speculative Science Fiction and Laws of Robotics
J.K. Williams 42,1970-05-20,London,,United Kingdom,Comic Book Writer,Science Fiction Speculative Futures & Philosophical Exploration,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Arthur Woolf 43,1973-04-17,Chicago,Illinois,United States,Novelist & Author,Cinematic Screenwriting & Dramatic Three-Act Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Chimamanda Murakami 44,1900-06-07,Dublin,,Ireland,Screenwriter & Playwright,Science Fiction Speculative Futures & Philosophical Exploration,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
Samuel O'Neill 45,1931-03-08,Dublin,,Ireland,Dramatic Playwright,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
J.R.R. Hemingway 46,1926-08-12,Paris,,France,Poetry Laureate,Graphic Novel Literature & Deconstruction of Superhero Archetypes,Shaping Speculative Science Fiction and Laws of Robotics
Aldous Foster Wallace 47,1938-11-06,Buenos Aires,,Argentina,Screenplay Writer,Science Fiction Speculative Futures & Philosophical Exploration,Pioneering Modern Epic Fantasy and Comprehensive Mythological Universes
Harold Herbert 48,1926-03-01,Chicago,Illinois,United States,Comic Book Writer,Magical Realism & Post-Colonial Cultural Identity in Fiction,Shaping Speculative Science Fiction and Laws of Robotics
Ursula Adichie 49,1936-06-04,Chicago,Illinois,United States,Comic Book Writer,Magical Realism & Post-Colonial Cultural Identity in Fiction,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Aldous Sedaris 50,1966-02-21,Tokyo,,Japan,Literary Fiction Author,Magical Realism & Post-Colonial Cultural Identity in Fiction,Defining Magical Realism in World Literature and Latin American Prose
Agatha Clarke 51,1967-01-15,Vancouver,British Columbia,Canada,Screenwriter & Playwright,Science Fiction Speculative Futures & Philosophical Exploration,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
Jorge Orwell 52,1905-04-07,Chicago,Illinois,United States,Science Fiction Author,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Defining Magical Realism in World Literature and Latin American Prose
Alan Rowling 53,1926-06-01,London,,United Kingdom,Science Fiction Author,Magical Realism & Post-Colonial Cultural Identity in Fiction,Mastering Cinematic Screenplays and Memorable Hollywood Dialogue
George King 54,1947-11-11,Boston,Massachusetts,United States,Non-Fiction & Essayist,Science Fiction Speculative Futures & Philosophical Exploration,Defining Magical Realism in World Literature and Latin American Prose
Frank Garcia Lorca 55,1917-06-07,Vienna,,Austria,Fantasy & Adventure Writer,Epic Fantasy Worldbuilding & Mythopoetic Narrative Structure,Advancing Modernist Narrative Techniques and Psychological Realism
Stan Christie 56,1904-04-03,Buenos Aires,,Argentina,Science Fiction Author,Magical Realism & Post-Colonial Cultural Identity in Fiction,Revolutionizing Graphic Novels and Mature Comic Book Storytelling
